id,produit,categorie,ville,prix,quantite,montant_total,date
296,Casque audio,Accessoires,Tanger,365,5,1825,2026-02-13
297,Ecran 24 pouces,Informatique,Tetouan,1877,4,7508,2026-04-10
298,Tablette graphique,Informatique,Meknes,1722,12,20664,2026-02-18
299,Onduleur,Bureautique,Marrakech,1322,12,15864,2026-05-02
300,Scanner,Bureautique,Dakhla,1396,5,6980,2026-03-15
301,Ordinateur portable,Informatique,Tetouan,10167,12,122004,2026-02-27
302,Casque audio,Accessoires,Tanger,375,2,750,2026-03-20
303,Imprimante laser,Bureautique,Kenitra,2320,4,9280,2026-02-23
304,Souris sans fil,Accessoires,Mohammedia,112,14,1568,2026-01-19
305,Disque SSD 1To,Stockage,Marrakech,1044,5,5220,2026-01-13
306,Imprimante laser,Bureautique,Meknes,2563,3,7689,2026-02-21
307,Scanner,Bureautique,Meknes,1350,1,1350,2026-03-22
308,Ordinateur portable,Informatique,Tetouan,9087,11,99957,2026-01-25
309,Casque audio,Accessoires,Dakhla,417,14,5838,2026-03-27
310,Switch 24 ports,Reseau,Taza,2237,2,4474,2026-04-02
311,Switch 24 ports,Reseau,Rabat,2146,16,34336,2026-04-20
312,Serveur NAS,Stockage,Dakhla,6682,12,80184,2026-02-21
313,Imprimante laser,Bureautique,Beni Mellal,2401,17,40817,2026-03-30
314,Webcam HD,Accessoires,Nador,483,3,1449,2026-01-06
315,Casque audio,Accessoires,Mohammedia,411,2,822,2026-01-11
316,Clavier mecanique,Accessoires,Fes,519,16,8304,2026-04-14
317,Switch 24 ports,Reseau,Tetouan,2457,12,29484,2026-02-01
318,Souris sans fil,Accessoires,Tetouan,112,8,896,2026-02-23
319,Ecran 24 pouces,Informatique,Rabat,1819,1,1819,2026-02-01
320,Switch 24 ports,Reseau,Agadir,2498,16,39968,2026-03-31
321,Routeur WiFi,Reseau,Errachidia,874,5,4370,2026-02-20
322,Imprimante laser,Bureautique,Nador,2099,14,29386,2026-03-15
323,Projecteur,Bureautique,Marrakech,5213,14,72982,2026-02-21
324,Routeur WiFi,Reseau,Errachidia,736,12,8832,2026-02-25
325,Webcam HD,Accessoires,Tetouan,465,19,8835,2026-05-06
326,Onduleur,Bureautique,Dakhla,1393,8,11144,2026-03-26
327,Souris sans fil,Accessoires,Marrakech,137,9,1233,2026-02-17
328,Casque audio,Accessoires,Errachidia,319,8,2552,2026-03-21
329,Routeur WiFi,Reseau,Tetouan,759,15,11385,2026-01-11
330,Projecteur,Bureautique,Rabat,6169,10,61690,2026-01-24
331,Imprimante laser,Bureautique,Marrakech,2626,15,39390,2026-03-28
332,Onduleur,Bureautique,Nador,1429,17,24293,2026-05-11
333,Switch 24 ports,Reseau,Tetouan,2016,3,6048,2026-01-31
334,Souris sans fil,Accessoires,Oujda,131,17,2227,2026-02-03
335,Disque SSD 1To,Stockage,Tetouan,1246,11,13706,2026-02-27
336,Tablette graphique,Informatique,Agadir,1737,1,1737,2026-03-14
337,Tablette graphique,Informatique,Settat,1880,16,30080,2026-03-13
338,Webcam HD,Accessoires,Tanger,467,3,1401,2026-05-21
339,Imprimante laser,Bureautique,Agadir,2602,13,33826,2026-01-03
340,Routeur WiFi,Reseau,Beni Mellal,890,20,17800,2026-04-05
341,Onduleur,Bureautique,Casablanca,1515,1,1515,2026-05-24
342,Souris sans fil,Accessoires,Safi,104,1,104,2026-01-11
343,Serveur NAS,Stockage,Rabat,5554,1,5554,2026-05-06
344,Onduleur,Bureautique,Rabat,1241,4,4964,2026-04-24
345,Ecran 24 pouces,Informatique,Mohammedia,2003,20,40060,2026-02-09
346,Ecran 24 pouces,Informatique,Settat,2141,2,4282,2026-04-06
347,Ordinateur portable,Informatique,Laayoune,7818,10,78180,2026-05-15
348,Casque audio,Accessoires,Nador,352,17,5984,2026-01-25
349,Switch 24 ports,Reseau,Kenitra,2078,3,6234,2026-01-27
350,Routeur WiFi,Reseau,Casablanca,700,3,2100,2026-01-21
351,Clavier mecanique,Accessoires,Rabat,386,17,6562,2026-03-03
352,Ordinateur portable,Informatique,Casablanca,9752,1,9752,2026-02-22
353,Ordinateur portable,Informatique,Settat,8145,13,105885,2026-02-20
354,Souris sans fil,Accessoires,Safi,138,16,2208,2026-01-26
355,Scanner,Bureautique,Rabat,1264,19,24016,2026-03-04
356,Souris sans fil,Accessoires,Settat,139,5,695,2026-04-18
357,Ordinateur portable,Informatique,Errachidia,8745,3,26235,2026-02-08
358,Projecteur,Bureautique,Safi,5898,16,94368,2026-01-06
359,Onduleur,Bureautique,Errachidia,1485,6,8910,2026-05-30
360,Clavier mecanique,Accessoires,Meknes,414,17,7038,2026-01-18
361,Ecran 24 pouces,Informatique,Fes,1839,5,9195,2026-05-05
362,Webcam HD,Accessoires,Fes,418,12,5016,2026-05-23
363,Clavier mecanique,Accessoires,Kenitra,510,20,10200,2026-01-28
364,Casque audio,Accessoires,Safi,410,13,5330,2026-05-01
365,Disque SSD 1To,Stockage,Nador,1035,11,11385,2026-01-15
366,Routeur WiFi,Reseau,Fes,891,8,7128,2026-03-26
367,Routeur WiFi,Reseau,Safi,768,17,13056,2026-02-07
368,Tablette graphique,Informatique,Marrakech,1619,9,14571,2026-05-21
369,Clavier mecanique,Accessoires,Beni Mellal,424,15,6360,2026-02-11
370,Imprimante laser,Bureautique,Tanger,2135,14,29890,2026-04-12
371,Webcam HD,Accessoires,Errachidia,476,19,9044,2026-01-07
372,Onduleur,Bureautique,Tanger,1730,1,1730,2026-05-16
373,Switch 24 ports,Reseau,Casablanca,2314,5,11570,2026-02-09
374,Switch 24 ports,Reseau,Laayoune,2001,13,26013,2026-02-11
375,Ecran 24 pouces,Informatique,Rabat,2125,1,2125,2026-04-04
376,Routeur WiFi,Reseau,Laayoune,653,4,2612,2026-05-19
377,Tablette graphique,Informatique,Kenitra,1735,15,26025,2026-01-03
378,Souris sans fil,Accessoires,Rabat,115,15,1725,2026-05-18
379,Projecteur,Bureautique,Safi,4611,8,36888,2026-02-06
380,Projecteur,Bureautique,Nador,4744,19,90136,2026-04-04
381,Switch 24 ports,Reseau,Tanger,2480,16,39680,2026-05-15
382,Scanner,Bureautique,Tanger,1317,2,2634,2026-05-11
383,Souris sans fil,Accessoires,Fes,130,19,2470,2026-04-14
384,Clavier mecanique,Accessoires,Beni Mellal,397,17,6749,2026-03-30
385,Ordinateur portable,Informatique,Tanger,8581,1,8581,2026-02-12
386,Ecran 24 pouces,Informatique,Errachidia,1872,19,35568,2026-04-11
387,Scanner,Bureautique,Tanger,1257,9,11313,2026-02-26
388,Casque audio,Accessoires,Safi,333,13,4329,2026-03-23
389,Ordinateur portable,Informatique,Rabat,7420,12,89040,2026-01-31
390,Switch 24 ports,Reseau,Meknes,2301,2,4602,2026-04-22
391,Scanner,Bureautique,Mohammedia,1505,16,24080,2026-01-19
392,Souris sans fil,Accessoires,Tetouan,142,4,568,2026-02-13
393,Ecran 24 pouces,Informatique,Nador,1678,12,20136,2026-01-19
